39002096833901.json
top ranked environments: 
environment_number: 2; environment_name: Windows 95 C (OSR 2.5) + Lotus SmartSuite Millennium Edition 12636; score: 3.845424408929889
environment_number: 6; environment_name: Windows XP Professional 2002 SP3 32 Bit + Microsoft Office Ultimate 2007 6995; score: 0.1413780139124714
environment_number: 0; environment_name: Windows XP Professional 2002 SP3 32 Bit + Adobe Acrobat 8 Professional; score: 0.0001
environment_number: 1; environment_name: Windows 95 + Corel WordPerfect Suite 7; score: 0.0001
environment_number: 3; environment_name: Windows 98 SE Base - V2 + Color Scanner IS33ODC (for SCSI & IEEE1394) Scanner Drivers & Utilities 12956; score: 0.0001

number of files:  99
number of files with unknown format: 33
number of files with known format: 66
rate of files with known format: 0.6666666666666666
contained formats: 
id: Q4045294; format New Executable
id: Q47455565; format Windows Portable Executable file format, 64-bit
id: Q34312151; format Macromedia Director, uncompressed PC variant
id: Q34312361; format Macromedia Director, uncompressed Macintosh variant
id: Q479833; format ا تهكير لعبة ببجي
id: Q34273353; format Keynote
id: Q47493633; format Adobe InDesign Document, version CS6
id: Q47493619; format Adobe InDesign Document, version CS4
id: Q59537335; format Apple iWorks Keynote
id: Q623334; format .exe
id: Q4042979; format Linear Executable
id: Q29650343; format PEM encoded RSA private key
id: Q28758002; format Inno Setup self-extracting archive
id: Q28777715; format NSIS
id: Q1076355; format Portable Executable
id: Q27925718; format DTED Level 1 Gazetteer Key file
id: Q47493509; format Adobe InDesign Document, version CS2
id: Q1343830; format Executable and Linkable Format
id: Q27925722; format DTED Level 1 Gazetteer Directory file
id: Q47493628; format Adobe InDesign Document, version CS5
id: Q1882110; format DOS MZ executable
id: Q47455466; format Windows Portable Executable file format, 32-bit
id: Q66244789; format ScreenCam stand-alone Movies format
id: Q26549229; format Portable Document Format/Archive, version 3 Unicode
id: Q27923693; format DTED Cells Directory File
id: Q82065565; format PhotoShop Extended Digital Book
id: Q61752184; format Adobe InDesign Document
id: Q47493614; format Adobe InDesign Document, version CS3
id: Q28600470; format DER encoded RSA private key
id: Q82065563; format Euphoria Database System
